,Facility.ID,Name,Date,Residents.Active,Residents.Population,Population.Feb20,215
22656,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2020-11-10,1.0,2795.0,3218.0,326034
22657,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2020-11-12,1.0,2780.0,3218.0,330514
22658,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2020-11-14,0.0,2780.0,3218.0,336671
22659,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2020-11-16,1.0,2780.0,3218.0,342489
22660,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2020-11-18,2.0,2758.0,3218.0,348536
22661,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2020-11-20,2.0,2758.0,3218.0,357637
22662,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2020-11-22,4.0,2758.0,3218.0,364583
22663,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2020-11-23,6.0,2758.0,3218.0,370769
22664,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2020-11-24,7.0,2758.0,3218.0,374479
22665,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2020-11-26,7.0,2739.0,3218.0,383275
22666,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2020-11-29,18.0,2739.0,3218.0,395879
22667,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2020-11-30,23.0,2739.0,3218.0,401448
22668,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2020-12-02,24.0,2738.0,3218.0,414549
22669,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2020-12-04,50.0,2738.0,3218.0,430824
22670,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2020-12-06,168.0,2738.0,3218.0,449971
22671,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2020-12-07,205.0,2738.0,3218.0,458255
22672,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2020-12-09,208.0,2732.0,3218.0,475778
22673,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2020-12-13,751.0,2732.0,3218.0,525564
22674,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2020-12-14,836.0,2732.0,3218.0,532730
22675,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2020-12-16,721.0,2716.0,3218.0,567249
22676,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2020-12-18,691.0,2716.0,3218.0,597386
22677,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2020-12-21,833.0,2716.0,3218.0,636190
22678,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2020-12-22,890.0,2716.0,3218.0,648062
22679,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2020-12-23,779.0,2710.0,3218.0,665036
22680,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2020-12-25,396.0,2710.0,3218.0,678040
22681,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2020-12-27,396.0,2710.0,3218.0,719960
22682,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2020-12-28,374.0,2710.0,3218.0,734860
22683,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2020-12-29,371.0,2710.0,3218.0,746666
22684,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2020-12-30,344.0,2700.0,3218.0,756840
22685,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-01-01,322.0,2700.0,3218.0,790582
22686,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-01-03,174.0,2700.0,3218.0,818698
22687,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-01-04,105.0,2700.0,3218.0,829549
22688,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-01-05,96.0,2700.0,3218.0,841392
22689,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-01-06,97.0,2704.0,3218.0,853440
22690,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-01-08,100.0,2704.0,3218.0,889405
22692,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-01-11,67.0,2704.0,3218.0,932901
22693,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-01-13,55.0,2698.0,3218.0,959156
22694,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-01-15,58.0,2698.0,3218.0,990632
22695,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-01-17,56.0,2698.0,3218.0,1014753
22696,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-01-18,55.0,2698.0,3218.0,1024297
22697,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-01-20,22.0,2681.0,3218.0,1038738
22698,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-01-22,18.0,2681.0,3218.0,1054802
22699,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-01-25,42.0,2681.0,3218.0,1079672
22700,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-01-27,38.0,2681.0,3218.0,1091712
22701,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-01-29,44.0,2681.0,3218.0,1104720
22702,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-01-31,44.0,2681.0,3218.0,1116948
22703,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-02-01,44.0,2681.0,3218.0,1121107
22705,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-02-05,38.0,2673.0,3218.0,1138970
22706,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-02-07,28.0,2673.0,3218.0,1146483
22707,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-02-08,20.0,2673.0,3218.0,1149346
22708,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-02-10,18.0,2672.0,3218.0,1155491
22709,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-02-12,9.0,2672.0,3218.0,1161926
22710,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-02-14,10.0,2672.0,3218.0,1166552
22711,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-02-15,10.0,2672.0,3218.0,1168372
22712,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-02-17,9.0,2667.0,3218.0,1171865
22713,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-02-19,3.0,2667.0,3218.0,1176843
22714,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-02-22,4.0,2667.0,3218.0,1181469
22715,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-02-23,4.0,2667.0,3218.0,1183496
22716,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-02-24,4.0,2670.0,3218.0,1185559
22717,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-02-26,2.0,2670.0,3218.0,1189232
22718,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-02-28,2.0,2670.0,3218.0,1191923
22719,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-03-01,2.0,2670.0,3218.0,1192954
22720,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-03-03,2.0,2670.0,3218.0,1196017
22721,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-03-05,1.0,2658.0,3218.0,1200128
22722,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-03-07,0.0,2658.0,3218.0,1203152
22723,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-03-08,0.0,2658.0,3218.0,1204018
22724,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-03-10,0.0,2658.0,3218.0,1206740
22725,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-03-12,0.0,2660.0,3218.0,1209849
22726,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-03-14,0.0,2660.0,3218.0,1210270
22727,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-03-15,0.0,2660.0,3218.0,1210663
22728,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-03-17,0.0,2660.0,3218.0,1211739
22729,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-03-19,0.0,2658.0,3218.0,1213288
22730,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-03-21,0.0,2658.0,3218.0,1214178
22731,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-03-22,0.0,2658.0,3218.0,1214754
22732,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-03-24,0.0,2658.0,3218.0,1215772
22733,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-03-26,0.0,2658.0,3218.0,1217116
22734,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-03-28,0.0,2658.0,3218.0,1218229
22735,98.0,CALIFORNIA STATE PRISON LOS ANGELES,2021-03-29,0.0,2658.0,3218.0,1218643
